idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
145538,39.3,-38,60.9,17,41.5,49,38.7,38.4,1,23.3435,77.849,13,3.463207e+01,-85.5886,6.05605
149767,38.3,-37,59.9,16,43.5,50,38.7,38.4,1,22.5521,74.5746,17,3.482555e+01,-85.4542,6.05669
199257,38.3,-39,59.9,17,42.5,51,36.7,39.4,1,23.3588,74.1623,9,2.632660e+01,-84.8727,6.057
46006,37.3,-39,59.9,16,42.5,52,36.7,37.4,1,22.4173,68.9953,12,2.951969e+01,-84.6427,6.05832
255387,38.3,-38,59.9,16,42.5,49,35.7,40.4,1,22.5063,71.6143,11,2.572016e+01,-85.5503,6.05932
31631,37.3,-39,59.9,16,39.5,48,36.7,37.4,1,22.4582,68.9563,10,2.993703e+01,-84.5647,6.0605
378018,39.3,-37,59.9,17,43.5,48,38.7,41.4,1,23.4265,80.4677,13,2.588231e+01,-85.7709,6.06393
299907,38.3,-39,60.9,17,43.5,48,38.7,40.4,1,23.4654,75.6055,15,3.755741e+01,-85.085,6.06689
206131,37.3,-39,59.9,17,43.5,48,37.7,39.4,1,24.373,74.5206,18,3.417119e+01,-83.9611,6.06731
314882,38.3,-39,59.9,17,42.5,48,34.7,41.4,1,23.4607,74.1805,10,3.120393e+01,-84.7177,6.06736
142886,37.3,-38,59.9,16,42.5,48,38.7,38.4,1,22.7949,71.9258,17,3.229042e+01,-84.7031,6.07107
149881,37.3,-39,59.9,17,43.5,50,38.7,38.4,1,24.0822,74.4714,18,3.423748e+01,-84.0533,6.07515
191783,39.3,-39,60.9,17,40.5,49,36.7,39.4,1,23.2607,74.9714,10,3.186686e+01,-85.6335,6.07726
152898,39.3,-36,59.9,16,43.5,51,38.7,38.4,1,22.4038,77.2286,11,2.622621e+01,-86.1767,6.07853
202901,37.3,-40,60.9,16,43.5,52,36.7,39.4,1,22.3097,67.4297,12,2.776526e+01,-85.0744,6.08182
288704,40.3,-40,62.9,17,40.5,50,37.7,40.4,1,22.5181,74.1491,12,3.064293e+01,-87.0761,6.08305
221157,38.3,-39,60.9,17,42.5,48,38.7,39.4,1,23.6478,75.419,17,3.423986e+01,-84.9598,6.08484
377425,41.3,-36,60.9,17,42.5,48,38.7,41.4,1,22.9682,84.2012,12,2.757728e+01,-87.2382,6.08856
42262,38.3,-38,59.9,16,41.5,51,36.7,37.4,1,22.5015,71.4649,9,2.662107e+01,-85.2991,6.08916
324278,39.3,-40,60.9,17,42.5,51,34.7,41.4,1,22.7887,72.9755,8,2.751494e+01,-85.7708,6.09143
281803,39.3,-40,61.9,17,39.5,48,37.7,40.4,1,22.9424,73.3346,11,2.590195e+01,-86.1709,6.09413
212399,40.3,-36,59.9,17,43.5,50,37.7,39.4,1,24.3526,82.8081,13,3.271321e+01,-85.8781,6.09476
64136,37.3,-38,59.9,16,41.5,48,38.7,37.4,1,23.2083,71.7147,16,3.710093e+01,-84.6022,6.0954
217434,40.3,-39,61.9,17,41.5,52,37.7,39.4,1,22.7468,75.7898,11,2.717357e+01,-86.7956,6.097
188526,37.3,-40,60.9,16,40.5,48,36.7,39.4,1,22.3609,67.397,12,2.812097e+01,-84.9975,6.10276
296178,39.3,-40,61.9,17,42.5,52,37.7,40.4,1,23.0066,73.4151,11,2.562419e+01,-86.2528,6.10352
131803,39.3,-40,61.9,17,39.5,50,37.7,38.4,1,22.8284,73.1362,10,3.118455e+01,-85.9242,6.10432
206017,38.3,-37,59.9,16,43.5,48,37.7,39.4,1,22.9894,74.6398,16,3.482216e+01,-85.3336,6.1048
292434,40.3,-39,61.9,17,41.5,51,37.7,40.4,1,22.9445,75.9647,11,2.675527e+01,-86.9152,6.10522
314802,38.3,-40,61.9,16,42.5,48,34.7,41.4,1,22.3546,68.2146,13,3.272265e+01,-85.7648,6.10883
