score,ok,length,height,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
62.367061431345675,True,20.637269801907113,41.72979162943856,14.556674743206628,48.85901359152392,40.598044681155706,53.96666783076461,38.689976587881034,38.01697824089735,60.83123826636322,36.54233313672653,39.516758193172436,50.50216252074397,66.3301746932507,-37.13602623987075,-6.283637225730439
60.12323335659141,True,20.25574867601723,39.86748468057418,15.356494014929023,49.55098647719415,39.016374413540255,55.97578600450131,39.577014291578905,39.565364894825564,63.712391702100376,36.96197462854391,39.46196573228311,49.47037099763651,66.40480032979801,-39.784028427104836,-6.201867959768191
57.730579819137034,True,18.747335672250685,38.98324414688635,13.66259793566369,48.139417542935924,39.25031977305824,57.48030688351404,39.12806380972092,39.28914721795474,63.99420715587188,35.55627813228888,38.48925865098747,51.33075842123516,66.1679139269467,-38.45131010572798,-6.933457014275272
57.4480410272056,True,21.168838501761975,36.27920252544362,13.919665884274789,51.343284799199886,41.73410898598374,56.311068434084675,40.604905835731145,40.02265670432328,62.85717725943902,34.713257308511395,40.59079020828341,49.99306148089482,65.71188420944982,-37.35920074308092,-7.1628020427826
54.347218647224686,True,21.923374505372742,32.423844141851944,14.233927296407737,50.76450543648013,40.72290551969575,55.62640065464986,40.655653875704736,38.78959017090292,62.59097786283823,34.951155899893294,37.63840467986493,47.823834851277304,66.42159989272714,-38.28963077732239,-8.543411318492833
52.44301825691904,True,10.412537820155734,42.030480436763305,15.049049137853823,49.25716317036301,43.440332976536396,57.95345222439032,42.486783834588294,37.71911837709132,60.96225708937408,34.85835275965627,41.01598972027157,48.08178439008524,64.71822223722272,-38.31098327488935,-5.654344735265564
51.19071799757806,True,12.033099153557202,39.15761884402086,14.993397140060146,52.32466105901443,42.537066222101785,57.547849069883085,41.12358321547632,40.95369554983754,63.662797193352965,36.39691259275186,40.27829032780459,46.697904137774266,66.62940987380999,-38.19655830815691,-6.289327963037117
41.588201488180914,True,33.185474828149424,8.40272666003149,15.558065884241799,49.3045390165054,43.43891634029718,54.39785259616901,40.996623093447305,39.872877798818116,60.075152266766345,38.041158172935575,40.96776942351404,49.50932849732771,66.63540849390785,-36.75112433715042,-9.242769559923182
41.209133948372966,True,11.413259107193909,29.795874841179057,15.818614651252329,49.72959131167259,39.58714953643427,55.7932409788623,40.797853048061384,38.980063488515974,60.92902448856355,37.36942019535072,41.60064331204349,48.40714429297875,64.33638969349333,-38.64779371862613,-8.117772616078856
38.37507178816985,True,28.72354429362855,9.651527494541298,15.768740690281792,50.702830627251096,40.663425913717475,55.866142776177625,39.95865141349726,39.16535661718755,60.87401145080627,38.274651704701085,38.19700011943801,50.91250294702811,67.44501736381487,-39.92998217673335,-7.964116708145611
