score,ok,length,height,spi_margin,asi_margin,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
21.551099985019576,True,8.871261121001385,33.84618707579427,72.57260166738115,0.2364359426434312,15.81476247696711,51.17306670437394,43.16001031820816,55.20733638658901,40.840583821334796,40.903343757321515,63.38440503648804,36.36861256790875,40.562128002353596,50.45389069616573,65.99122999353804,-37.50015781336232,-8.270665890599
21.315409961345537,True,16.029925125102128,15.572672391077674,214.38199471524877,0.40061104486511223,14.537674731599612,50.33242875101576,40.76594737797655,54.34470530553319,40.08586816640929,40.64838246988216,63.29488121988095,37.544871046070426,41.20000060738206,48.10718398755365,64.37651564219085,-38.19740219499613,-8.699348708220366
19.152271190049532,True,14.94180206092978,13.843615665529072,180.15796834723096,0.36957810077197895,16.00084070904646,48.11915932030186,41.90514105819858,55.72382726139696,39.02088657490599,40.09333871939435,61.88900231063205,37.15801304757987,41.08185709376029,48.02332088042553,63.74522882008408,-38.795869435572016,-7.087452083475647
13.43234585562018,True,9.585896788480778,18.06894054306636,48.78116729087333,0.1935163688778921,15.050243192683135,48.061670640817184,43.07273999109343,57.00682465558965,40.91868618356071,40.742927119396356,62.41754531084259,36.31803965478194,39.79842057797157,49.01715471102639,67.63072099509759,-36.78071439974324,-8.76694301725877
13.428892857607758,True,7.299338461364407,19.060495386780943,105.48038716419273,0.2948797487467119,14.002214572360998,48.79091539088987,41.62140753503834,55.54710404942185,39.602944786340196,38.9536080487126,62.01739079999311,35.338914005106204,38.217064966673824,49.52525998753323,66.25386865789723,-37.88152393054452,-6.394967319281659
12.06336279048971,True,11.208796339929364,10.589412472873718,66.91926558864611,0.2259786693752378,13.856321508613114,49.65593920298064,42.00293423294947,55.77550146794758,39.361486581452986,40.6564736497969,63.828146023296604,36.50990935326654,37.6987168678262,47.12594310278069,67.19131621740921,-39.83404640322165,-6.965476283995201
12.02914050902363,True,5.557319364932823,17.715475404795995,209.07041899959268,0.4199680554009296,13.985551795572519,48.40418523582682,39.73957361176431,56.988086047375894,38.810712512793465,39.53718056644158,61.68969951000408,35.46273766116147,40.3275768628574,47.52386833486648,66.27486049484467,-39.53396804944118,-8.116977531014316
11.948741654450993,True,7.0767656033194655,14.702271554866812,228.87444159305778,0.40407460350972424,14.366874644210618,49.875361564781166,39.54237842226172,55.22254874082145,40.65484831043198,39.7960811152926,60.828428777246934,38.47870273475124,40.064374271001405,48.351262456656926,66.33904492277298,-37.721697831691465,-7.667681292389811
11.148065576652622,True,6.476251081638846,19.964333584581638,45.74195479838022,0.18908987151631662,15.870647821530225,48.85318631655848,43.0999349471993,57.721972605223726,42.00943408935838,39.44782640268649,63.063148520358496,35.9815789062346,41.03995887989605,50.42313385056401,65.09402817203758,-39.66890966781572,-8.03639522963601
11.133309301134968,True,6.000199770473138,15.754911434401166,160.07645031579068,0.3652168656591186,14.867839468313557,50.061148505049054,41.22032499939457,56.20371919790369,38.15298401814718,40.104120363023206,63.277051478632416,35.42507674717772,39.215803925978186,49.95733694345337,65.32120836740323,-39.2194963811376,-9.1396933348536
10.896847255582053,True,6.114593776545245,18.950143515978795,55.84744754222493,0.21390775244934104,13.95738989509766,50.906306030992994,40.537990045186845,54.188063503348744,41.42867413583965,38.9865223808073,63.05974330022451,35.20401309730548,39.01111520612218,49.74085962172919,63.771034702541144,-39.19626374334395,-7.070467449498546
10.75151900581404,True,6.548626995139699,14.744475655430449,142.04652372520104,0.3162249440557616,14.382958130231176,50.78924628933724,41.58169178665924,56.257790672683974,41.12482742545582,38.87406484629994,63.06772895156713,38.32494794201621,37.74883863957173,50.73041531123665,66.5895087059728,-39.48036031572512,-7.985855382773973
10.281650456272121,True,0.0,24.810573480487477,287.998534656547,0.4716616153692538,13.120330356899155,49.85573784489314,41.26212446662663,57.169708514074124,40.17649645905631,39.861166831676705,61.89909260882717,37.34979812756148,39.22931952639823,48.112651598655546,67.69062480185234,-36.0172334333752,-6.439137802028553
9.879387284377554,True,6.882460755323645,13.712109844132073,83.32392019165468,0.259934227916047,13.275104496669774,48.913585349300504,41.73746537129604,57.20959950136752,40.557212062899474,38.420877570283416,63.5694407139703,35.51591551747874,37.46629917231662,48.076775712115364,65.48282207992864,-39.758177696269804,-9.09498489850873
9.813659424746081,True,5.189201707968017,14.420656189453894,186.32468242236678,0.3875212861408481,13.517845800581775,51.11715537241937,39.591143758166574,54.57642640934971,39.009037292356275,40.04813614142182,61.18832899700411,36.121388365163405,39.879065343702514,47.419542029490366,66.62357500142565,-39.50886661255602,-7.758123784556211
9.304481349106528,True,7.590472542046328,9.70037667301169,142.65945436826132,0.31957357747465426,15.282327841347895,49.236121405639835,42.66605408680555,53.87645605924682,38.64352463499275,39.119329654869986,59.998906033313666,38.01867373783626,38.34963603553933,47.563498103524665,63.887770276785275,-37.48327877773926,-8.01407693299591
8.967114444005848,True,8.044139638636786,7.153091334082362,178.93284566389298,0.377646045965401,13.851462692036357,49.07917990876239,43.38371622487477,57.01364601232828,39.316580599483956,40.83946045099588,60.742840885737756,36.27709854828822,40.817507606804924,49.56734262636184,64.10133100873553,-36.042793209959314,-8.94702652568991
8.794511294701458,True,7.131008846319411,10.749791838132438,99.4459773283279,0.2701725865628339,13.810297653627234,48.678428612761834,43.12288639970196,56.43996001870338,39.86772992307875,40.866907681270945,61.207842475317634,37.36359625013469,38.19402311546126,48.723581129423195,66.92395359738558,-36.34311520456398,-6.278924327665887
8.304309544190902,True,8.589244024137997,7.984687537871736,78.37998326174602,0.2344929843598395,16.37449359617269,50.23988435436825,40.74679025028046,55.324867920720116,41.48104226798027,40.90210015205844,60.732958290113686,38.10308493796439,41.27376146151757,49.096903779296944,65.9919563203349,-39.1961310979401,-7.656385287216883
8.142156819648683,True,8.483425467221977,5.624832499686747,141.6374406139587,0.317800855984702,15.831238485991797,49.2611088680622,40.41866360643162,54.95615978925681,38.380893998239706,40.36515154564162,61.50159921967396,38.08633448752472,38.94605412682374,50.832169533279256,67.08923909321122,-39.99782025177772,-8.961130341081555
7.4034159064805065,True,9.296559534761542,4.059992230280457,86.35284630543492,0.2556525177832174,14.809518214039274,50.239089544321985,43.19684233609492,55.66260028039909,40.131365092249084,39.649539315399586,60.6386413754195,36.74763455616723,39.91953088086721,50.17190749007981,64.07649382491688,-38.7863949495019,-9.437317850032642
6.323114969353835,True,8.964740114886581,6.063674096984812,42.80912231218622,0.17698793274641947,14.558376297792735,51.99954806261048,42.06906104723271,56.60500278233321,41.146958815913635,41.22034684344867,59.991282043301126,37.16158567392998,40.355179519564835,48.026533974517776,65.30622261478786,-39.79817227240487,-9.018215625047398
4.373766878009254,True,0.0,24.018147389255077,21.650630618291643,0.131767603152661,15.519856945734965,50.620172162053464,42.729539643784854,57.63384260767604,40.83797098392398,38.09736568998807,61.8005692081464,35.41474438054034,37.44306667313131,48.88879801436807,66.55668382156416,-39.283604764149885,-8.710580254239325
3.9915622352300604,True,0.0,18.32520633577589,47.15180033879233,0.19418105925886334,15.894265547937525,51.35990576976199,42.25748617768774,57.58298958778199,40.07032518920157,41.096617498667925,60.24409403079269,35.58565666793055,39.50665361758396,48.16067870948194,66.61537280564103,-37.44451543198972,-7.708869102173597
-1.729199690000201,True,0.0,7.830940733956837,43.94357157853028,0.17787537581398002,14.47514148148905,50.28867769161061,40.026314082509046,55.24858062679792,41.66376091987925,41.22197368535295,62.52772818603829,37.46488636499462,39.737761072720716,47.56138874858247,63.840322146522624,-39.928423211729736,-6.159150190428733
