score,ok,streak,height,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
52.51689612370039,True,24.907633698712278,27.609262424988117,15.381809273877678,51.80015843377262,43.065703703241745,56.25060929104705,40.97709584510387,39.3191126592976,63.222276678885656,36.891487802443315,40.98883241293305,49.97462176863834,65.59869774729222,-38.963233806139925,-8.81104104996136
52.45750715506908,True,15.251319393267007,37.20618776180207,13.161752358476562,49.366979389586206,41.35409950245738,54.69692084931167,40.84494614343749,37.92027880342804,61.881289015033204,37.218238325334354,39.49871113550574,48.1628120979136,65.4494220757241,-36.37116915579007,-7.889554539311133
50.812565506295094,True,9.514109485886955,41.29845602040814,15.771943261555863,50.131766069366236,40.51168428899885,56.04046390900319,39.915704494773,41.05156147560818,62.463865145239225,38.472296895087666,37.60745119016945,50.755037317365385,65.43019268644875,-36.01957409361375,-8.703857614942859
48.70432418099604,True,7.883392019772771,40.82093216122327,14.190458261107631,49.1560165496141,40.32911117941856,56.61995303896079,39.36816298007379,38.69521269680522,63.6348014990832,37.88162142400934,38.49383014702169,47.48749642293086,66.40648898313019,-38.48122325850247,-5.879357850714551
47.46986250812474,True,35.35524710580983,12.11461540231491,14.432890917363949,48.2533227442407,41.63769785755026,54.671319740060824,39.81857240274095,38.14740586563095,60.97414735325769,38.01337446819524,38.75102062068315,49.31173456104381,65.96456844366857,-38.05864838396598,-8.425041517789523
46.663025644113375,True,15.290110963566413,31.372914680546963,14.583143387165018,50.68676089183988,40.69998831919505,55.06470878508741,41.10745796965761,37.59017245797263,61.733142090474345,38.69381776341777,41.38438579142038,47.29304288439853,64.55261724906816,-38.939198340998395,-6.066962488025164
46.081262877542784,True,16.493925379181636,29.58733749836115,15.550645747104625,51.063254737188664,41.58519925131193,56.30699374792712,39.19838978767015,37.60993341545894,61.042912603452606,35.786860428328744,38.67883827367505,49.160608890073824,64.25349624606463,-39.074954081087256,-7.024200750803791
45.53124713166156,True,8.351895600523846,37.17935153113771,14.250615923578536,50.208498390132256,39.551860950698554,54.805364513489224,40.5822467824474,40.42369957150354,63.380472369285336,38.01993392782058,41.045945508294956,49.81851627557115,66.2905295422,-36.9795691791658,-7.613539453195035
45.34161091863466,True,17.011447216398622,28.330163702236035,16.026790092805555,51.22210150634634,41.25487559238639,54.57186119620063,40.85699992113617,38.73266998900172,60.438928695043806,38.294652177080174,39.34120853265005,48.75000001666024,64.87885838576359,-37.21184890001738,-9.040896655121394
44.623178238426966,True,30.68560902668859,13.937569211738378,14.660617296935643,50.78518314271949,41.71363091960568,55.55464484821691,41.802702122389846,37.462795577447736,60.299871402712235,38.08946684098824,39.84976602125558,50.11064655058842,63.762521305073115,-38.05213010070555,-9.774601685785532
44.31548147240104,True,25.038567602194867,19.276913870206172,15.801180255530419,49.78475620281337,40.32053428553282,55.9777011640179,41.25336631590687,39.908148349587435,62.68988386229427,38.25069958602879,40.52625237252584,48.618022822600615,64.48918301704451,-38.793874350658626,-9.652119310574726
